names,session,visit,lead,n_nmean,sdnn,rmssd,pnn50,ulf,vlf,lf,hf,lfhf,ttlpwr,ac,dc,samp_en,ap_en
cd68,9,3,Vx,423.2717909090909,12.26407090909091,1.942811375221392,0,12.04959045909091,157.14998136363636,4.3709982744933304,4.316427078744428,1.15,332.0488090909091,-2.1505359090909093,2.2180091818181817,1.8731326363636365,0.9122058272727273
kv31,3,1,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kv31,8,2,aVF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kv31,8,2,aVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kv31,8,2,aVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kv31,8,2,LI,341.3159761904762,5.694788380952381,1.9512818083997667,0,3.086194067761905,34.80074904761905,1.873596524782176,0.737908344286808,3.6347619047619046,47.51289047619048,-1.1716556476190476,0.9782753476190477,1.4952860952380953,1.2110267142857143
kv31,8,2,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kv31,8,2,LIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kv31,8,2,Vx,341.31553333333335,5.857025904761905,2.0192198032899658,0,3.081999571047619,34.758202857142855,1.865202767815105,0.754879010491448,3.486190476190476,47.441044285714284,-1.1290093047619048,0.8634544761904762,1.552085476190476,1.2233511904761905
kv31,10,3,aVF,510.1475713043478,8.559142608695652,1.8432651490855811,0,3.145012326391304,51.941919,3.6326015206497964,3.5586074760051116,1.0969565217391304,129.41794026086956,-2.557108095652174,2.118407247826087,1.8491043739130435,1.0436291208695652
kv31,10,3,aVL,465.73643,7.5139501,2.1559259298831503,0,6.1297374,37.784436,2.38245763234362,3.1701956606485524,0.45,78.557807,-2.1948357,1.3020833,1.8309354,1.0577277
